epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.655,1.93331,1.39823,1.12306,0.74195,0.51691,0.58232,0.26837,1.7795,1.11853,1.08604,0.000665839,0.000665839,0.000665839
2,337.218,1.79024,1.06348,1.05486,0.76728,0.48669,0.56834,0.28244,1.7101,1.01798,1.06992,0.00129953,0.00129953,0.00129953
3,516.509,1.76101,1.02667,1.04731,0.78026,0.48711,0.55743,0.27247,1.73855,0.9609,1.08153,0.00190021,0.00190021,0.00190021
4,692.008,1.71112,0.98333,1.04118,0.7875,0.55567,0.63274,0.30911,1.6519,0.95439,1.04308,0.0018515,0.0018515,0.0018515
5,877.015,1.68547,0.95237,1.02816,0.80473,0.57488,0.66137,0.32262,1.67839,0.87621,1.06268,0.001802,0.001802,0.001802
6,1078.28,1.66708,0.92812,1.02072,0.80962,0.57676,0.66435,0.33021,1.62826,0.84151,1.03191,0.0017525,0.0017525,0.0017525
7,1264.94,1.65472,0.90913,1.01623,0.81208,0.59496,0.67691,0.32898,1.6526,0.86158,1.04615,0.001703,0.001703,0.001703
8,1435.25,1.62358,0.88437,1.00955,0.82052,0.60398,0.69537,0.35053,1.59696,0.79582,1.02534,0.0016535,0.0016535,0.0016535
9,1617.18,1.62559,0.87961,1.00755,0.82225,0.60863,0.69414,0.35309,1.56631,0.7779,1.01126,0.001604,0.001604,0.001604
10,1819.9,1.6132,0.86469,1.00077,0.82552,0.61615,0.70495,0.35797,1.56059,0.77446,1.01115,0.0015545,0.0015545,0.0015545
11,1995.05,1.58852,0.84674,0.99806,0.8262,0.60976,0.69844,0.35506,1.57585,0.77028,1.01444,0.001505,0.001505,0.001505
12,2184.83,1.59338,0.8415,0.99545,0.81937,0.61195,0.69389,0.35002,1.56933,0.77246,1.00634,0.0014555,0.0014555,0.0014555
13,2688.11,1.57767,0.83291,0.98929,0.83945,0.6208,0.713,0.36261,1.54036,0.74405,1.00342,0.001406,0.001406,0.001406
14,2870.22,1.56884,0.82439,0.9903,0.81697,0.63014,0.70819,0.35166,1.57736,0.76377,1.01235,0.0013565,0.0013565,0.0013565
15,3051.96,1.57258,0.8226,0.98663,0.82346,0.63094,0.71538,0.36624,1.53125,0.7462,1.00116,0.001307,0.001307,0.001307
16,3215.52,1.5501,0.80332,0.9877,0.83869,0.63961,0.72988,0.37576,1.52837,0.73176,0.99906,0.0012575,0.0012575,0.0012575
17,3367.71,1.54935,0.80541,0.98532,0.83593,0.63571,0.72664,0.37341,1.53545,0.72441,1.00428,0.001208,0.001208,0.001208
18,3515.89,1.53739,0.79491,0.98291,0.83584,0.64175,0.72935,0.37402,1.52265,0.72267,0.99905,0.0011585,0.0011585,0.0011585
